學年度,設立別,學校類別,學校統計處代碼,學校名稱,日間/進修,學制班別,當學年度各學制總量內核定新生招生名額(A),當學年度各學制新生保留入學資格人數(B),當學年度各學制總量內新生招生核定名額之實際註冊人數(C),當學年度各學制境外(新生)學生實際註冊人數(D),當學年度各學制新生註冊率(%)E=〔(C+D)/(A-B+D)〕*100％,當學年度各學制招生特色說明
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,日間,學士班(含四技),4589,3,3655,318,81.02,本校學士班設有52學系(組)，其中包含7個全英語授課學士班(組)，如外交與國際關係學系全英語學士班、財務金融學系全球財務管理全英語學士班、國際企業學系國際商學全英語組、國際觀光管理學系全英語學士班、全球政治經濟學系全英語學士班、資訊工程學系全英語學士班、英文學系全英語學士班。本校有優質安全的校園環境、數位化圖書資訊服務、完善的住宿環境設施、豐富的職涯發展課程及弱勢助學補助措施，還有多元出國機會。招生管道：繁星推薦、申請入學、分發入學、運動績優、四技二專甄選、四技二專青年儲蓄帳戶組、學士班特殊選才招生。
111,私立,一般大學,1006,中國文化大學,日間,學士班(含四技),4990,0,2547,125,52.24,中國文化大學位於台北市陽明山，設有13個學院，學士班有63學系組學位學程、碩士班有47系所組學位學程、博士班有10所，為一綜合性大學。本校以發揚中華文化為主旨，系所多元完整，涵蓋各主要學術範疇；在中華文化陶冶及國際化的學習環境中，實現跨領域、跨產業、跨國界的育才目標，培養學生成為最靈活的人才！本校為全國學系組學位學程最多之大學，提供每位學生多元學習的機會，除了雙主修輔系等選擇外，每系亦開設跨領域學分學程與專業學程。近年已取得ACCSB華文商管學院認證及IEET中華工程教育學會認證，顯示本校在教學及各項輔助資源之投入已獲認可。本校不僅重視文化傳承與創新外，同時也十分注重國際化，在全球締結超過400所姐妹校，設立跨國雙聯學位制度，更善用校內英、日、韓、俄、法等國語文學系的資源，以及全英語學位學程、華語中心，每年赴海外交流與在文大求學的境外學生多達一千多位，成功營造國際化的學習環境。
111,私立,一般大學,1007,逢甲大學,日間,學士班(含四技),3850,0,3845,189,99.88,"1.本校商學院與金融學院皆通過AACSB國際商管教育認證，工程相關系所全面通過IEET國際工程及科技教育認證。 2.本校計有43個學系、學位學程招收學士班，111學年度共提供招生名額3,989名，除建築學士學位學程修業年限為5年之外，其餘均為4年；修足應修科目與學分數(含非本系至少9學分)，並通過本校及該系、學位學程規定之各項考核(畢業條件)成績合格者，始得畢業授予學位。3.為培養學生具有國際競爭力，本校與34個國家(地區)272所大學建立學術交流合作關係，並與161所海外姊妹校簽訂交換學生協議，選送學生出國進修、實習、增強學生跨國交流學習的經驗。 4.本校提供多元學習環境並引進CDIO創新教育，跨領域專題學習，培養就業即戰力。 5.本校重視學生外語能力的培養，強化學生的國際移動力，並積極推動產學聯盟，讓學生具有國內外實習或專題實作經驗，提供國際交流或實習的機會，提升學生就業競爭力。"
111,私立,一般大學,1008,靜宜大學,日間,學士班(含四技),2603,2,2023,80,78.44,1.本校國際學院獲教育部「2021大專校院學生雙語化學習計畫」補助為標竿培育學院。2.本校連續16年獲教育部教學卓越與高教深耕計畫近11億元補助。3.天下雜誌2022大學辦學績效成長排名全國第七；遠見雜誌2022台灣最佳大學排行榜人文社科類全國排名第八。4.為全國第一所加入「國際交換學生計畫(ISEP)」之會員學校，僅需支付靜宜學費、膳宿費和活動費之國際交換與出國研修方案。5.提供績優入學與學業成績優良等多項獎學金。6.新生入學管道包括：特殊選才、繁星推薦、申請入學、四技二專甄選入學、四技二專特殊選才、分發入學及運動績優單獨招生與原住民專班。7.推行學碩一貫，提供獎學金，鼓勵學生在專業領域繼續深造。8.本校師資培育中心開設教育學程，提供學生多元就業力。9.蓋夏圖書館曾榮獲全國十大非去不可圖書館，藏書豐富。10.獲青年署111年大專校院推動職涯輔導補助計畫案，全國僅7所通過全校類計畫。
111,私立,一般大學,1014,義守大學,日間,學士班(含四技),2851,27,1836,327,68.64,義守大學為一所人文與科技並重、多元人才培育的國際化綜合大學，設有工、智慧科技、管理、語文、觀光餐旅、傳播與設計、國際、醫學、醫學科技及原住民族等十個學院，並有全國獨創之學士後醫學系外國學生專班，所有系所皆通過外部評鑑，且獲得全球唯一3個學院同步通過AACSB國際認證，連續8年教育部教學卓越獎勵補助，為南台灣學校之 最。   本校辦學績效卓著，2019年入選《遠見雜誌》台灣最佳大學排行榜，全國綜合大學前18名、南部私校綜合大學第1名，2021年入選QS亞洲大學排名，整體表現受獲肯定。本校致力培育具國際觀與競逐全球能力之專才，且校園國際化交流與學習機會非常多，集團所屬事業體具多樣性，使學生在實習與就業上極佔優勢，本校更積極與其他企業產學合作，開辦就業學程計畫，聘請產業界講師授課，使學生具備企業界優先錄用之優勢，為本校畢業生開創寬廣就業機會。新鮮人的你們，怎能錯過呢!選擇義守大學，絕對是正確的。
111,私立,一般大學,1016,銘傳大學,日間,學士班(含四技),3899,0,3201,472,84.03,1.銘傳大學係為紀念台灣首任巡撫劉銘傳而設立的知名大學，擁有65年的辦學經驗。2010年獲得美國MSCHE認證，成為亞洲唯一一所美國認證大學。2016年6月再次通過MSCHE 10年認證，與哥倫比亞大學、紐約大學、馬里蘭大學、賓州大學、康乃爾大學為同一認證體系。2017年7月管理學院通過AACSB國際認證。2.設有11個學院、43個學系，16.7萬校友及近2萬名學士生、碩士及博士生，深受陸生及國際生喜愛，陸生人數名列前茅。3. 「2021年全球最佳大學排行榜」，連續5年進榜，榮登全球著名學府。4.與2021與全球193所知名大學締結姐妹校，外籍生數1111人。5.連續10年獲教育部「大學教學卓越計畫」獎勵，教學成效倍獲肯定。2021年連續4年獲高教深耕計畫補助。6.教師教學認真嚴謹指導學生參加科技部大專學生研究計畫，2021年獲獎勵數115件，全台第4名，私校第2名。
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,日間,學士班(含四技),4293,1,4058,243,94.84,本校學士班設有52學系(組)，其中包含7個全英語授課學士班(組)，如外交與國際關係學系全英語學士班、財務金融學系全球財務管理全英語學士班、國際企業學系國際商學全英語組、國際觀光管理學系全英語學士班、全球政治經濟學系全英語學士班、資訊工程學系全英語學士班、英文學系全英語學士班。本校有優質安全的校園環境、數位化圖書資訊服務、完善的住宿環境設施、豐富的職涯發展課程及弱勢助學補助措施，還有多元出國機會。招生管道：繁星推薦、申請入學、分發入學、運動績優、四技二專甄選、四技二專青年儲蓄帳戶組、學士班特殊選才招生。
112,私立,一般大學,1006,中國文化大學,日間,學士班(含四技),4000,0,2457,77,62.15,中國文化大學位於台北市，設有13個學院，學士班有62學系組學位學程、碩士班有40系所組學位學程、博士班有10所，為一綜合性大學。本校以發揚中華文化為主旨，系所多元完整，涵蓋各主要學術範疇；在中華文化陶冶及國際化的學習環境中，實現跨領域、跨產業、跨國界的育才目標，培養學生成為最靈活的人才！  本校為全國學系組學位學程最多之大學，提供每位學生多元學習的機會，除了雙主修輔系等選擇外，每系亦開設跨領域學分學程與專業學程。近年已取得ACCSB華文商管學院認證及IEET中華工程教育學會認證，顯示本校在教學及各項輔助資源之投入已獲認可。本校不僅重視文化傳承與創新外，同時也十分注重國際化，在全球締結超過400所姐妹校，設立跨國雙聯學位制度，更善用校內英、日、韓、俄、法等國語文學系的資源，以及全英語學位學程、華語中心，每年赴海外交流與在文大求學的境外學生多達一千多位，成功營造國際化的學習環境。
112,私立,一般大學,1007,逢甲大學,日間,學士班(含四技),3850,0,3838,174,99.70,"1.本校商學院與金融學院皆通過AACSB國際商管教育認證，工程相關系所全面通過IEET國際工程及科技教育認證。 2.本校計有43個學系、學位學程招收學士班，112學年度共提供招生名額3,989名，除建築學士學位學程修業年限為5年之外，其餘均為4年；修足應修科目與學分數(含非本系至少9學分)，並通過本校及該系(學位學程)規定之各項考核(畢業條件)成績合格者，始得畢業授予學位。3.為培養學生具有國際競爭力，本校與30個國家(地區)302所大學建立學術交流合作關係，並與165所海外姊妹校簽訂交換學生協議，選送學生出國進修、實習、增強學生跨國交流學習的經驗。 4.本校提供多元學習環境並引進CDIO創新教育，跨領域專題學習，培養就業即戰力。 5.本校重視學生外語能力的培養，強化學生的國際移動力，並積極推動產學聯盟，讓學生具有國內外實習或專題實作經驗，提供國際交流或實習的機會，提升學生就業競爭力。"
112,私立,一般大學,1008,靜宜大學,日間,學士班(含四技),2342,0,1872,91,80.68,1.本校為中部海線地區唯一一所教學卓越的綜合型大學，連續18年獲教育部教學卓越與高教深耕計畫近12億元補助。2.天下雜誌2022大學辦學績效成長排名全國第七；遠見雜誌2022台灣最佳大學排行榜文法商類全國排名第八。3.教育部青年發展署112年大專校院職涯輔導成果評選，榮獲全國唯一「金等獎」，厚植四年一貫職涯培力。4.為全國第一所加入「國際交換學生計畫(ISEP)」之會員學校，僅需支付靜宜學費、膳宿費和活動費之國際交換與出國研修方案。5.本校國際學院獲教育部「2023大專校院學生雙語化學習計畫」補助為重點培育學院。6.提供績優入學、學業成績優良等多項獎學金。7.新生入學管道包括：特殊選才、繁星推薦、申請入學、四技二專甄選入學、四技二專特殊選才、分發入學及運動績優單獨招生及原住民專班。8.本校師資培育中心開設教育學程，提供學生多元就業發展。8.蓋夏圖書館榮獲全國十大非去不可圖書館，藏書豐富。
