report_key,title_hint,page_title,note,year,export_url,source_file_name,saved_as,bytes
stud_1_2_school,學1-2,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,正式學籍在學學生數，做校級境外生占比與成長率分母,111,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatUniversityStudent/Export,(skipped-existing),stud_1_2_school_111.csv,59578
stud_1_2_school,學1-2,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,正式學籍在學學生數，做校級境外生占比與成長率分母,112,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatUniversityStudent/Export,(skipped-existing),stud_1_2_school_112.csv,58360
stud_1_2_school,學1-2,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,正式學籍在學學生數，做校級境外生占比與成長率分母,113,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatUniversityStudent/Export,(skipped-existing),stud_1_2_school_113.csv,56133
stud_1_2_school,學1-2,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,正式學籍在學學生數，做校級境外生占比與成長率分母,114,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatUniversityStudent/Export,(skipped-existing),stud_1_2_school_114.csv,55706
stud_3_6_graduate_school,學3-6,學3-6.畢業境外生數-以「校(含學制班別)」統計,校級畢業境外生數,111,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatUniversityForeignGraduateStudent108/Export,學3-6.畢業境外生數-以「校(含學制班別)」統計.csv,stud_3_6_graduate_school_111.csv,290880
stud_3_6_graduate_school,學3-6,學3-6.畢業境外生數-以「校(含學制班別)」統計,校級畢業境外生數,112,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatUniversityForeignGraduateStudent108/Export,學3-6.畢業境外生數-以「校(含學制班別)」統計.csv,stud_3_6_graduate_school_112.csv,0
stud_3_6_graduate_school,學3-6,學3-6.畢業境外生數-以「校(含學制班別)」統計,校級畢業境外生數,113,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatUniversityForeignGraduateStudent108/Export,學3-6.畢業境外生數-以「校(含學制班別)」統計.csv,stud_3_6_graduate_school_113.csv,287305
stud_3_6_graduate_school,學3-6,學3-6.畢業境外生數-以「校(含學制班別)」統計,校級畢業境外生數,114,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatUniversityForeignGraduateStudent108/Export,學3-6.畢業境外生數-以「校(含學制班別)」統計.csv,stud_3_6_graduate_school_114.csv,23
stud_3_7_identity_school,學3-7,學3-7.境外學位生數(依身分類別呈現)-以「校(含學制班別)」統計,境外學位生依身分類別，做各項成長率主體,111,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatForeignStudentGroupByIdentity/Export,學3-7.境外學位生數(依身分類別呈現)-以「校(含學制班別)」統計.csv,stud_3_7_identity_school_111.csv,589406
stud_3_7_identity_school,學3-7,學3-7.境外學位生數(依身分類別呈現)-以「校(含學制班別)」統計,境外學位生依身分類別，做各項成長率主體,112,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatForeignStudentGroupByIdentity/Export,學3-7.境外學位生數(依身分類別呈現)-以「校(含學制班別)」統計.csv,stud_3_7_identity_school_112.csv,584756
stud_3_7_identity_school,學3-7,學3-7.境外學位生數(依身分類別呈現)-以「校(含學制班別)」統計,境外學位生依身分類別，做各項成長率主體,113,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatForeignStudentGroupByIdentity/Export,學3-7.境外學位生數(依身分類別呈現)-以「校(含學制班別)」統計.csv,stud_3_7_identity_school_113.csv,577215
stud_3_7_identity_school,學3-7,學3-7.境外學位生數(依身分類別呈現)-以「校(含學制班別)」統計,境外學位生依身分類別，做各項成長率主體,114,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatForeignStudentGroupByIdentity/Export,學3-7.境外學位生數(依身分類別呈現)-以「校(含學制班別)」統計.csv,stud_3_7_identity_school_114.csv,566979
stud_11_international_coop_school,學11,學11.學校辦理國際合作與交流資料表-以「校」統計,國際合作與交流資料，作為境外生來源背景,111,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/SirdJointDualTransnationalDegree108/Export,學11.學校辦理國際合作與交流資料表-以「校」統計.csv,stud_11_international_coop_school_111.csv,187311
stud_11_international_coop_school,學11,學11.學校辦理國際合作與交流資料表-以「校」統計,國際合作與交流資料，作為境外生來源背景,112,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/SirdJointDualTransnationalDegree108/Export,學11.學校辦理國際合作與交流資料表-以「校」統計.csv,stud_11_international_coop_school_112.csv,190077
stud_11_international_coop_school,學11,學11.學校辦理國際合作與交流資料表-以「校」統計,國際合作與交流資料，作為境外生來源背景,113,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/SirdJointDualTransnationalDegree108/Export,學11.學校辦理國際合作與交流資料表-以「校」統計.csv,stud_11_international_coop_school_113.csv,182711
stud_11_international_coop_school,學11,學11.學校辦理國際合作與交流資料表-以「校」統計,國際合作與交流資料，作為境外生來源背景,114,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/SirdJointDualTransnationalDegree108/Export,學11.學校辦理國際合作與交流資料表-以「校」統計.csv,stud_11_international_coop_school_114.csv,23
stud_12_2_registration_system,學12-2,學12-2.新生(含境外生)註冊率-以「校(含學制班別)」統計,校(含學制班別)新生註冊率,111,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatSystemRegistrationRate/Export,學12-2.新生(含境外生)註冊率-以「校(含學制班別)」統計.csv,stud_12_2_registration_system_111.csv,626925
stud_12_2_registration_system,學12-2,學12-2.新生(含境外生)註冊率-以「校(含學制班別)」統計,校(含學制班別)新生註冊率,112,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatSystemRegistrationRate/Export,學12-2.新生(含境外生)註冊率-以「校(含學制班別)」統計.csv,stud_12_2_registration_system_112.csv,595685
stud_12_2_registration_system,學12-2,學12-2.新生(含境外生)註冊率-以「校(含學制班別)」統計,校(含學制班別)新生註冊率,113,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatSystemRegistrationRate/Export,學12-2.新生(含境外生)註冊率-以「校(含學制班別)」統計.csv,stud_12_2_registration_system_113.csv,586592
stud_12_2_registration_system,學12-2,學12-2.新生(含境外生)註冊率-以「校(含學制班別)」統計,校(含學制班別)新生註冊率,114,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatSystemRegistrationRate/Export,學12-2.新生(含境外生)註冊率-以「校(含學制班別)」統計.csv,stud_12_2_registration_system_114.csv,593239
stud_12_3_registration_school,學12-3,學12-3.新生(含境外生)註冊率-以「校」統計,校級新生註冊率,111,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatUniversityRegistrationRate/Export,學12-3.新生(含境外生)註冊率-以「校」統計.csv,stud_12_3_registration_school_111.csv,158633
stud_12_3_registration_school,學12-3,學12-3.新生(含境外生)註冊率-以「校」統計,校級新生註冊率,112,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatUniversityRegistrationRate/Export,學12-3.新生(含境外生)註冊率-以「校」統計.csv,stud_12_3_registration_school_112.csv,153334
stud_12_3_registration_school,學12-3,學12-3.新生(含境外生)註冊率-以「校」統計,校級新生註冊率,113,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatUniversityRegistrationRate/Export,學12-3.新生(含境外生)註冊率-以「校」統計.csv,stud_12_3_registration_school_113.csv,145498
stud_12_3_registration_school,學12-3,學12-3.新生(含境外生)註冊率-以「校」統計,校級新生註冊率,114,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatUniversityRegistrationRate/Export,學12-3.新生(含境外生)註冊率-以「校」統計.csv,stud_12_3_registration_school_114.csv,149511
stud_13_2_suspend_school,學13-2,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計(111學年度起),校級休學人數,111,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatUniversitySuspendStudent_New/Export,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計(111學年度起).csv,stud_13_2_suspend_school_111.csv,171078
stud_13_2_suspend_school,學13-2,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計(111學年度起),校級休學人數,112,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatUniversitySuspendStudent_New/Export,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計(111學年度起).csv,stud_13_2_suspend_school_112.csv,168158
stud_13_2_suspend_school,學13-2,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計(111學年度起),校級休學人數,113,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatUniversitySuspendStudent_New/Export,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計(111學年度起).csv,stud_13_2_suspend_school_113.csv,162020
stud_13_2_suspend_school,學13-2,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計(111學年度起),校級休學人數,114,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatUniversitySuspendStudent_New/Export,學13-2.於學年底處於休學狀態之人數-以「校(含學制班別)」統計(111學年度起).csv,stud_13_2_suspend_school_114.csv,23
stud_14_2_dropout_school,學14-2,學14-2.退學人數-以「校(含學制班別)」統計(111學年度起),校級退學人數,111,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatUniversityDropOutStudent_New/Export,學14-2.退學人數-以「校(含學制班別)」統計(111學年度起).csv,stud_14_2_dropout_school_111.csv,322065
stud_14_2_dropout_school,學14-2,學14-2.退學人數-以「校(含學制班別)」統計(111學年度起),校級退學人數,112,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatUniversityDropOutStudent_New/Export,學14-2.退學人數-以「校(含學制班別)」統計(111學年度起).csv,stud_14_2_dropout_school_112.csv,316306
stud_14_2_dropout_school,學14-2,學14-2.退學人數-以「校(含學制班別)」統計(111學年度起),校級退學人數,113,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatUniversityDropOutStudent_New/Export,學14-2.退學人數-以「校(含學制班別)」統計(111學年度起).csv,stud_14_2_dropout_school_113.csv,304619
stud_14_2_dropout_school,學14-2,學14-2.退學人數-以「校(含學制班別)」統計(111學年度起),校級退學人數,114,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatUniversityDropOutStudent_New/Export,學14-2.退學人數-以「校(含學制班別)」統計(111學年度起).csv,stud_14_2_dropout_school_114.csv,23
stud_16_attendance_school,學16,學16.學士班以下就學穩定率-以「校(含學制班別)」統計,學士班以下就學穩定率,111,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StudbUniversityStudentSchoolAttendanceRate/Export,學16.學士班以下就學穩定率-以「校(含學制班別)」統計.csv,stud_16_attendance_school_111.csv,29312
stud_16_attendance_school,學16,學16.學士班以下就學穩定率-以「校(含學制班別)」統計,學士班以下就學穩定率,112,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StudbUniversityStudentSchoolAttendanceRate/Export,學16.學士班以下就學穩定率-以「校(含學制班別)」統計.csv,stud_16_attendance_school_112.csv,28511
stud_16_attendance_school,學16,學16.學士班以下就學穩定率-以「校(含學制班別)」統計,學士班以下就學穩定率,113,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StudbUniversityStudentSchoolAttendanceRate/Export,學16.學士班以下就學穩定率-以「校(含學制班別)」統計.csv,stud_16_attendance_school_113.csv,26855
stud_16_attendance_school,學16,學16.學士班以下就學穩定率-以「校(含學制班別)」統計,學士班以下就學穩定率,114,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StudbUniversityStudentSchoolAttendanceRate/Export,學16.學士班以下就學穩定率-以「校(含學制班別)」統計.csv,stud_16_attendance_school_114.csv,26867
